ID;Кол-во чел в д/х
54-702-006-02;
54-702-009-01;1
54-702-014-01;3
54-702-003-02;
54-702-002-01;2
54-702-003-01;4
54-103-058-01;2
54-702-005-01;4
54-501-056-02;
54-501-055-02;
54-103-058-02;
54-501-044-02;
54-501-070-01;2
54-501-070-02;
54-501-074-01;3
54-501-054-01;2
54-501-086-01;2
54-501-054-02;
54-501-057-02;
54-501-063-01;2
54-501-062-02;
54-501-060-01;3
54-501-084-02;
54-501-093-01;1
54-501-071-01;2
54-501-087-01;3
54-501-015-02;
54-702-019-01;2
54-702-019-02;
54-503-001-02;
54-503-002-01;2
54-503-003-02;
54-503-010-01;5
54-503-012-02;
54-503-016-01;1
54-103-057-01;6
54-103-057-02;
54-102-255-01;2
54-103-056-01;3
54-103-054-01;2
54-102-257-01;1
54-103-054-02;
54-102-256-01;2
54-702-016-01;5
54-702-016-02;
54-702-017-01;1
54-702-018-02;
54-502-005-01;2
54-103-053-01;5
54-502-009-02;
54-502-010-01;2
54-503-014-01;1
54-503-019-01;5
54-503-022-01;3
54-103-052-01;2
54-502-002-01;2
54-503-015-01;3
54-503-022-02;
54-502-006-01;2
54-502-003-01;2
54-502-003-02;
54-502-005-02;
54-102-243-01;3
54-501-043-01;1
54-002-164-01;2
54-502-007-01;2
54-502-013-01;4
54-502-015-01;6
54-502-015-02;
54-502-016-02;
54-502-020-02;
54-502-021-01;1
54-502-022-02;
54-504-007-01;2
54-702-023-01;4
54-702-022-02;
54-702-020-01;4
54-002-056-01;2
54-002-056-02;
54-002-057-01;2
54-002-058-01;2
54-002-163-01;2
54-103-033-01;2
54-102-241-01;1
54-102-251-01;1
54-102-240-01;1
54-103-075-01;2
54-103-122-01;2
54-103-116-02;
54-103-115-01;4
54-103-111-02;
54-103-110-02;
54-103-109-02;
54-103-107-01;2
54-103-072-01;2
54-103-068-01;2
54-103-064-02;
54-103-062-01;2
54-103-055-01;1
54-103-049-02;
54-103-086-01;1
54-103-092-01;4
54-701-040-01;3
54-701-042-01;6
54-701-038-01;3
54-701-044-01;1
54-103-019-01;2
54-103-046-01;2
54-102-239-01;2
54-102-116-01;2
54-102-115-01;1
54-102-114-01;4
54-103-006-01;4
54-701-043-01;1
54-701-042-02;
54-701-041-02;
54-701-039-02;
54-702-001-02;
54-702-001-01;4
54-102-113-01;2
54-102-112-01;2
54-103-005-01;1
54-103-027-01;3
54-103-034-01;2
54-103-041-01;2
54-103-042-01;4
54-103-044-01;1
54-103-045-02;
54-103-048-01;3
54-103-060-02;
54-103-069-02;
54-103-078-01;1
54-103-100-01;3
54-103-106-02;
54-103-111-01;3
54-103-119-01;3
54-102-111-01;2
54-002-162-01;2
54-002-161-01;3
54-002-160-01;3
54-002-166-01;2
54-102-143-01;1
54-102-145-01;4
54-102-146-01;2
54-102-147-01;2
54-102-134-01;1
54-602-020-01;2
54-001-040-01;3
54-102-136-01;2
54-102-135-01;2
54-102-137-01;1
54-102-138-01;1
54-102-140-01;5
54-102-237-01;4
54-102-148-01;1
54-602-021-01;4
54-001-070-01;4
54-001-077-01;5
54-102-149-01;1
54-102-150-01;1
54-102-151-01;1
54-102-121-01;6
54-102-122-01;2
54-102-123-01;2
54-102-124-01;4
54-102-141-01;2
54-102-144-01;3
54-102-142-01;4
54-503-001-01;4
54-501-048-01;2
54-501-078-01;2
54-501-014-02;
